Data,Pattern,Order,Call Count,Enumerate time (seconds)
human,query_sparse_8_174,DPiso,28960,0.00123137
human,query_dense_12_139,TurboISO,202089066,17.02838121
human,query_sparse_8_199,VF2++,134581842,6.52376513
human,query_sparse_8_14,GraphQL,1794920213,1345.80793412
human,query_dense_8_150,VF2++,50297197,106.79156984
human,query_dense_8_34,DPiso,5517982786,820.15999168
human,query_sparse_8_113,VF2++,2854819991,891.96028135
human,query_dense_4_154,ORBIT,252737,0.26118673
human,query_dense_4_192,GraphQL,207522,1.26601614
human,query_dense_4_119,ORBIT,1116295,1.15288106
human,query_dense_4_161,TurboISO,68409,0.18526069
human,query_dense_4_151,ORBIT,7616,0.000625
human,query_dense_4_18,GraphQL,7029,0.03395882
human,query_dense_8_67,ORBIT,11911097,41.1059039
human,query_dense_8_179,TurboISO,3214147186,1078.66397617
human,query_dense_4_87,DPiso,101390,0.3017354
human,query_sparse_16_113,ORBIT,0,9.24e-06
human,query_sparse_8_132,VF2++,79330704,85.40748569
human,query_sparse_8_107,TurboISO,7010512438,351.4761827
human,query_sparse_20_129,TurboISO,0,1.05e-05
human,query_sparse_12_56,VF2++,0,1.015e-05
human,query_dense_4_172,ORBIT,101390,0.2898381
human,query_dense_4_82,VF2++,8812,0.00270305
human,query_dense_8_49,VF2++,20510446,48.53619017
human,query_sparse_8_15,DPiso,67561666,22.67460214
human,query_sparse_8_150,DPiso,378098253,113.99700053
human,query_dense_8_6,ORBIT,1672415,0.55048624
human,query_dense_8_26,VF2++,76389080,133.48258562
human,query_dense_8_171,TurboISO,1117322,2.52676989
human,query_dense_8_186,ORBIT,26459068,65.23250663
human,query_dense_4_74,ORBIT,13015,0.06791892
human,query_sparse_20_156,DPiso,0,9.38e-06
human,query_dense_8_26,TurboISO,76389005,144.03882245
human,query_sparse_8_189,ORBIT,202922280,93.66931778
human,query_dense_4_24,GraphQL,61517,0.22982619
human,query_sparse_16_102,GraphQL,9660146,0.52810705
human,query_dense_16_6,TurboISO,23575369,1.59883546
human,query_sparse_8_111,ORBIT,12,8.3e-06
human,query_dense_8_186,GraphQL,26459068,65.2106475
human,query_dense_12_193,VF2++,129444479,139.62849083
human,query_dense_4_167,TurboISO,207524,0.09869039
human,query_sparse_8_69,GraphQL,16822151,7.00745537
human,query_dense_4_161,DPiso,68409,0.18538832
human,query_sparse_20_185,VF2++,0,9.07e-06
human,query_dense_4_56,VF2++,4713,0.00949424
human,query_dense_4_102,GraphQL,20808,0.03152876
human,query_dense_8_174,TurboISO,12358,0.00629682
human,query_dense_4_27,VF2++,119256,0.10745009
human,query_dense_4_77,VF2++,59209,0.05777246
human,query_dense_4_130,ORBIT,252737,0.28178124
human,query_dense_4_68,DPiso,484386,2.56698467
human,query_dense_4_173,DPiso,274876,0.80831029
human,query_dense_4_63,VF2++,487566,2.44235211
human,query_sparse_12_61,VF2++,0,7.62e-06
human,query_sparse_8_37,ORBIT,10001457218,456.49445642
human,query_sparse_20_96,VF2++,0,8.44e-06
human,query_dense_4_170,VF2++,101390,0.28935149
human,query_dense_4_69,GraphQL,61517,0.22001323
human,query_sparse_16_61,VF2++,6,1.001e-05
human,query_dense_8_158,VF2++,2846043,0.85278559
human,query_dense_8_105,GraphQL,35077,0.01382972
human,query_sparse_8_51,TurboISO,100960815,59.70930432
human,query_dense_12_31,VF2++,38664,0.00715664
human,query_sparse_8_120,VF2++,175762595,9.86541398
human,query_sparse_8_54,DPiso,22922055765,933.16235477
human,query_sparse_8_105,ORBIT,77586,0.0063704
human,query_sparse_16_166,ORBIT,168,1.934e-05
human,query_sparse_8_158,DPiso,64492725,13.20037176
human,query_sparse_8_160,VF2++,47145962,2.2684329
human,query_dense_4_158,DPiso,5794,0.02657949
human,query_dense_4_96,ORBIT,104040,0.12610601
human,query_dense_8_152,TurboISO,996996,0.43454565
human,query_sparse_12_50,DPiso,5994306,0.50067698
human,query_dense_4_88,GraphQL,5603,0.04410809
human,query_dense_4_132,DPiso,1122031,5.89669738
human,query_dense_4_165,ORBIT,207522,1.09270147
human,query_dense_4_199,VF2++,9818,0.01065464
human,query_sparse_16_120,DPiso,0,8.81e-06
human,query_dense_8_184,TurboISO,384332,0.44181038
human,query_sparse_16_77,GraphQL,991193815,325.31468106
human,query_dense_8_173,VF2++,708805883,350.67240918
human,query_sparse_16_135,TurboISO,0,9.34e-06
human,query_sparse_8_194,GraphQL,785788168,399.81615695
human,query_dense_12_33,VF2++,308626,0.05008167
human,query_dense_8_107,DPiso,5690955227,935.55242017
human,query_dense_4_55,VF2++,20605,0.07022553
human,query_sparse_12_129,ORBIT,3565389,0.14822416
human,query_sparse_8_16,VF2++,35230,0.00354105
human,query_sparse_20_18,TurboISO,543360,0.01330551
human,query_sparse_8_72,DPiso,58838,0.00200814
human,query_dense_4_37,DPiso,86132,0.47043987
human,query_dense_8_45,VF2++,35714,0.00749388
human,query_dense_16_166,VF2++,2128893296,954.79753408
human,query_dense_8_46,ORBIT,1102804941,823.435088
human,query_dense_4_28,TurboISO,119296,0.12914876
human,query_dense_8_199,GraphQL,3698928,22.2601496
human,query_dense_20_112,DPiso,222009110,17.52538238
human,query_dense_4_53,GraphQL,120472,0.70554336
human,query_sparse_8_61,GraphQL,15034,0.002352
human,query_dense_4_41,ORBIT,100654,0.05070096
human,query_dense_8_188,GraphQL,393668000,1058.60286022
human,query_dense_4_33,DPiso,211184,0.39738487
human,query_dense_12_21,DPiso,1192472459,150.89283181
human,query_dense_16_165,ORBIT,5634454,0.20352591
human,query_dense_8_54,DPiso,215692262,125.53849833
human,query_dense_4_84,VF2++,628,9.663e-05
human,query_dense_4_52,GraphQL,336,0.00133644
human,query_sparse_16_196,TurboISO,0,8.5e-06
human,query_dense_4_26,TurboISO,21835,0.00640863
human,query_dense_16_165,GraphQL,308728,0.0414562
human,query_dense_4_71,ORBIT,1122031,5.71181588
human,query_dense_4_147,DPiso,484386,2.58145895
human,query_dense_4_149,ORBIT,63558,0.39509192
human,query_dense_8_107,VF2++,407120220,1728.844105
human,query_dense_12_6,GraphQL,390836801,460.06529799
human,query_dense_4_99,VF2++,22713,0.02427634
human,query_dense_12_22,VF2++,848316,0.073882
human,query_sparse_20_22,VF2++,0,8.62e-06
human,query_dense_4_6,TurboISO,66581,0.21410699
human,query_dense_4_90,DPiso,61517,0.22086137
human,query_dense_4_199,GraphQL,9818,0.01176012
human,query_dense_4_18,VF2++,63585,0.02776965
human,query_sparse_8_1,ORBIT,23705381009,1339.53165948
human,query_sparse_8_118,VF2++,618128086,16.83234882
human,query_sparse_8_173,DPiso,22597,0.00127097
human,query_dense_8_183,DPiso,115967924,16.95287895
human,query_dense_4_167,ORBIT,207524,0.09912633
human,query_dense_4_131,DPiso,487566,2.45330086
human,query_dense_4_99,GraphQL,22666,0.02083704
human,query_dense_20_123,TurboISO,388704738,88.23802016
human,query_dense_4_40,VF2++,18813,0.04546585
human,query_sparse_16_42,GraphQL,1709757,0.48698169
human,query_dense_4_38,GraphQL,1114442,2.55645211
human,query_sparse_12_164,DPiso,0,8.09e-06
human,query_dense_4_122,TurboISO,63601,0.00641814
human,query_dense_4_10,VF2++,107264,0.06870867
human,query_dense_4_43,ORBIT,363,3.52e-05
human,query_sparse_8_74,GraphQL,50597425,13.38939561
human,query_dense_4_177,GraphQL,487566,2.76192742
human,query_sparse_20_18,VF2++,13382128,0.36260245
human,query_dense_4_23,VF2++,18002,0.00083287
human,query_dense_4_26,GraphQL,5123,0.02063771
human,query_sparse_12_101,DPiso,6,9.46e-06
human,query_sparse_12_61,ORBIT,0,9.19e-06
human,query_sparse_12_198,DPiso,0,9.22e-06
human,query_dense_8_106,VF2++,7695,0.0017078
human,query_dense_4_175,GraphQL,1122031,6.45800157
human,query_sparse_8_14,TurboISO,774132463,172.93789284
human,query_sparse_20_112,GraphQL,0,9.48e-06
human,query_dense_4_34,VF2++,292,5.925e-05
human,query_dense_8_128,TurboISO,72494,0.0284007
human,query_dense_4_41,TurboISO,41784,0.05274914
human,query_sparse_8_28,VF2++,6115510284,636.04285002
human,query_sparse_8_191,DPiso,1486191216,779.01781457
human,query_dense_4_143,DPiso,235,0.00015594
human,query_sparse_12_70,DPiso,1962183493,1262.55578181
human,query_dense_8_75,ORBIT,13397201151,1674.80615593
human,query_dense_4_86,GraphQL,93865,0.13057177
human,query_sparse_16_160,VF2++,0,8.28e-06
human,query_dense_8_118,GraphQL,11280630,22.76628769
human,query_dense_4_63,GraphQL,487566,2.59611385
human,query_dense_4_96,VF2++,104040,0.11922347
human,query_sparse_20_14,ORBIT,24198,0.00085884
human,query_dense_4_149,GraphQL,63558,0.41987189
human,query_dense_8_158,DPiso,3034385,0.96984562
human,query_dense_4_177,DPiso,487566,2.57436679
human,query_sparse_8_132,ORBIT,228944976,29.78692353
human,query_dense_4_95,DPiso,37028,0.04339293
human,query_dense_8_72,DPiso,89078,0.00727606
human,query_sparse_16_148,GraphQL,0,9.02e-06
human,query_sparse_8_100,ORBIT,1692417873,217.42713317
human,query_sparse_8_92,VF2++,2779062,0.1162802
human,query_dense_4_118,DPiso,58332,0.12526447
human,query_dense_12_22,DPiso,848852,0.07891036
human,query_dense_4_110,DPiso,101297,0.10501795
human,query_dense_4_148,DPiso,94,0.00029419
human,query_dense_8_111,DPiso,354757,0.06949123
human,query_dense_4_14,ORBIT,101287,0.33410305
human,query_sparse_8_42,ORBIT,179073418,19.93206638
human,query_dense_4_58,GraphQL,145,7.428e-05
human,query_dense_4_38,TurboISO,1114442,2.21840526
human,query_dense_16_78,VF2++,1147003008,668.09542022
human,query_dense_8_108,DPiso,2504572,0.9210567
human,query_dense_4_161,VF2++,68409,0.19750023
human,query_dense_8_109,TurboISO,4125701495,1005.06011648
human,query_dense_16_85,ORBIT,697083654,76.70098908
human,query_dense_4_140,TurboISO,5250,0.00857635
human,query_sparse_8_128,VF2++,233888,0.06774273
human,query_dense_4_9,TurboISO,2320,0.01154463
human,query_dense_4_105,GraphQL,484386,2.71157596
human,query_sparse_16_196,VF2++,0,7.7e-06
human,query_sparse_12_29,GraphQL,0,9.96e-06
