Data,Pattern,Algorithm,Load and preprocess time,Filtering time,Ordering time,Enumeration time,Total time,#Embeddings
human,query_dense_4_115,DPiso,0.03870019,0.00029813,1.393e-05,0.001523,0.04053525000000001,26644
human,query_sparse_8_94,GraphQL,0.03478524,0.00048805,1.566e-05,514.01148439,514.04677334,12305634416
human,query_sparse_8_183,GraphQL,0.02163415,0.0003365,1.614e-05,11.95506971,11.9770565,351769527
human,query_dense_4_108,TurboISO,0.03678024,0.00027661,1.946e-05,0.69886833,0.73594464,8804922
human,query_dense_4_44,ORBIT,0.01926889,0.00200013,2.045e-05,0.09583238,0.11712185,8804922
human,query_dense_4_177,GraphQL,0.03796829,0.00099348,1.447e-05,4.04615618,4.08513242,37011858
human,query_dense_4_89,ORBIT,0.03959229,0.00185846,1.863e-05,0.01178233,0.05325171,1067570
human,query_dense_4_139,GraphQL,0.05184236,0.00041476,1.476e-05,0.1814428,0.23371467999999998,2297596
human,query_dense_4_133,VF2++,0.02738684,4.688e-05,3.292e-05,0.15406033,0.18152696999999998,6147120
human,query_dense_4_24,DPiso,0.04137644,0.00031915,1.584e-05,0.24378475,0.28549618,3043632
human,query_dense_8_42,TurboISO,0.03483347,0.0003398,2.54e-05,18.46702255,18.50222122,207687312
human,query_sparse_8_94,TurboISO,0.01863159,0.00014487,2.944e-05,123.85617729,123.87498319000001,12305634416
human,query_dense_8_27,VF2++,0.0281533,7.957e-05,3.303e-05,72.51383341,72.54209931,6631496976
human,query_dense_4_163,GraphQL,0.0363561,0.00019055,1.574e-05,0.02359041,0.0601528,223068
human,query_sparse_8_42,ORBIT,0.0297965,0.00195851,2.444e-05,25.18723711,25.21901656,3504713876
human,query_sparse_12_11,ORBIT,0.03518252,0.00137623,3.755e-05,9.05e-06,0.036605349999999995,0
human,query_dense_8_45,VF2++,0.02881041,2.911e-05,3.484e-05,0.01243463,0.041308990000000004,324000
human,query_sparse_8_135,ORBIT,0.02725591,0.00193215,2.717e-05,707.36330203,707.39251726,91202799316
